data_criacao,id,temperatura,umidade,latitude,longitude,altitude,HDOP,satelites
2025-11-19T15:20:40-03:00,258,31.8,71.0,-7.995956,-34.840874,40.7,99.99,6.0
2025-11-19T15:21:01-03:00,259,31.8,71.0,-7.995956,-34.840874,40.7,99.99,6.0
2025-11-19T15:21:22-03:00,260,31.3,71.0,-7.995956,-34.840874,40.7,99.99,6.0
2025-11-19T15:21:42-03:00,261,31.3,71.0,-7.995956,-34.840874,40.7,99.99,6.0
2025-11-19T15:22:03-03:00,262,31.3,71.0,-7.995956,-34.840874,40.7,99.99,6.0
2025-11-19T15:22:24-03:00,263,31.3,71.0,-7.995956,-34.840874,40.7,99.99,6.0
2025-11-19T15:22:45-03:00,264,31.3,71.0,-7.995956,-34.840874,40.7,99.99,6.0
2025-11-19T15:23:06-03:00,265,31.3,71.0,-7.995956,-34.840874,40.7,99.99,6.0
2025-11-19T15:23:28-03:00,266,31.8,71.0,-7.995956,-34.840874,40.7,99.99,6.0
2025-11-19T15:23:49-03:00,267,31.3,71.0,-7.995956,-34.840874,40.7,99.99,6.0
2025-11-19T15:24:10-03:00,268,31.3,71.0,-7.995956,-34.840874,40.7,99.99,6.0
2025-11-19T15:24:33-03:00,269,31.3,71.0,-7.995956,-34.840874,40.7,99.99,6.0
2025-11-19T15:24:54-03:00,270,31.3,71.0,-7.995956,-34.840874,40.7,99.99,6.0
